遮,庶,視界を遮る,遮断
遜,孫,,遜色、謙遜
遡,朔,時を遡る,遡行、遡及
邦,,,邦楽、邦画、連邦
那,,,那覇市、刹那
避,辟,,避難、回避、避暑地
還,睘,,還元、返還、還暦
遷,,,左遷、遷都
郭,享,,外郭
郎,良,,新郎、下郎
郊,交,,郊外、近郊
邸,氐,,邸宅、豪邸
邪,牙,,邪魔、邪悪、邪心
陣,車,,陣地、陣営、出陣
陥,,罠に陥る、人を陥れる,陥没
附,付,,附属、添附、寄附
阻,且,行く手を阻む,阻止、阻害
阜,,,岐阜県
隆,,,隆起、隆盛
陪,咅,,陪審員、陪席
陶,匋、缶,,陶器、
陳,東,,陳列、陳述、陳腐
陰,侌、今、云,木陰、日が陰る,陰影、陰謀
隙,,隙間、隙がない,間隙
隔,鬲,隔たりがない,隔離、遠隔、間隔
随,迶,,随行、付随、随時
隅,禺,四隅、片隅,一隅
陵,夌,,陵墓、丘陵
忌,,,忌避、忌中、一周忌
尚,,,尚早、高尚、尚古
兼,,大は小を兼ねる,兼任、兼業
隣,粦、舛,隣の席、隣り合う,隣人、近隣、隣接
隠,,宝を隠す、隠れ家,隠居、隠蔽
怠,台、心,練習を怠る、家で怠ける,怠慢、怠惰
怪,圣,怪しい人物、人に怪しまれる,怪奇、怪物
怨,夗,,怨恨、怨念
忙,亡,仕事が忙しい,忙殺、多忙
忍,刃,足を忍ばせる、耐え忍ぶ,忍耐、残忍、忍者
恐,巩,死を恐れる、地震は恐ろしい,恐慌、恐怖
恭,共,恭しく礼をする,恭賀、恭順
悔,毎,後で悔やむ、負けて悔しい、過ちを悔いる,後悔
怖,布,怖い鬼,恐怖、畏怖
怒,奴,怒り狂う、きつく怒られる,怒気、憤怒
恥,,行いを恥じる、恥をかく,恥辱
恣,次,,恣意
恨,,恨みをはらす,遺恨、怨恨、痛恨
恒,亘、旦,,恒星、恒例、恒久
恵,,お金を恵む,智恵、恩恵
悩,,頭を悩ます,苦悩、煩悩
悟,吾,意味を悟る,覚悟
患,串,病気を患う,患者、疾患
悦,兑,,悦楽、満悦
恋,亦,恋におちる、人を恋う,恋愛
惑,或,戸惑う,惑星、疑惑、誘惑
悼,卓,死を悼む,悼辞、追悼
惜,昔,負け惜しみ、別れが惜しい,惜敗
惨,参,惨めな思い,惨劇、惨敗
惧,具,,危惧、憂惧
惰,左、月,,惰性、惰眠、怠惰
愁,秋,愁いを帯びる、未来を愁える,哀愁、憂愁
慈,兹,花を慈しむ,慈善、慈悲
慌,荒,慌てて出かける,恐慌
愚,禺,愚かな考え,愚息、愚弄、愚痴
慄,栗,,戦慄、慄然
慕,莫,彼を慕う,慕情、恋慕
慎,真,言葉を慎む,謹慎、慎重
慨,既,,感慨、憤慨
愉,俞,,愉快、愉悦
憂,,行く先を憂う、物憂い,憂鬱、憂慮
慢,曼,,慢心、自慢、怠慢、緩慢
憎,曽,悪を憎む、話し方が憎らしい,憎悪
慶,,,慶賀、慶弔
慰,尉,心が慰む、友人を慰める,慰安、慰謝料
憤,賁,激しく憤る,憤慨、憤怒
憧,童,憧れの人,憧憬
憬,景,,憧憬
憩,舌,憩いの場,休憩
慮,虍、思,,遠慮、配慮、考慮
懲,徵,悪人を懲らしめる、懲りずに行う,懲役、懲罰
懇,,懇ろなもてなし,懇意、懇談
憾,感,,遺憾
懐,壊,昔が懐かしい、犬が懐く、,懐古
憶,意,,記憶、追憶、憶測
戴,𢦏,,頂戴、推戴
戯,虚,猫と戯れる,戯画、戯曲
戚,尗,,親戚
戒,,自身を戒める,戒告、警戒
懸,県、糸,命を懸ける,懸垂、懸念
払,,お金を払う,払拭
扉,戸、非,扉をたたく,開扉
扇,羽,扇形,扇子、扇状地
房,方,ぶどうのふさ,厨房、暖房
戻,,元に戻す,返戻
把,巴,,把握、銃把、一把、大雑把
択,尺,,選択、採択
抄,少,,抄本、抄紙
抗,亢,,抗議、抵抗、反抗
扱,及,取り扱う,
拐,另,,拐帯、誘拐
押,甲,蓋を押さえる、背中を押す,押印、押収
抑,卬,怒りを抑える,抑圧、抑制
扶,夫,,扶養、扶助
抜,,腰を抜かす、抜かってしまう、空気を抜く,抜刀、抜擢
拓,石,,魚拓、開拓
拙,出,手際が拙い,稚拙、拙者
拘,句,,拘束、拘留
拠,処,,拠点、根拠、証拠
拒,巨,要求を拒む,拒絶、拒否
抱,包,疑問を抱く、不安を抱える、赤ちゃんを抱く,抱擁、抱負
披,皮,,披露、披見
拍,白,,拍手、拍車、四拍子
抵,氐,,抵抗、抵触、大抵
抽,由,,抽出、抽選、抽象
拳,龹、手,握り拳,拳法
挟,夹,手を挟む、隙間に挟まる,挟撃
括,舌,,括弧、一括、総括
拉,立,,拉致
抹,末,,抹茶、抹殺、抹消
挨,矣,,挨拶
挑,兆,敵に挑む,挑戦、挑発
拭,式,汗を拭う、机を拭く,払拭
拶,,,挨拶
拷,考,,拷問
捉,足,心を捉える,捕捉
挿,,挿し絵,挿入、挿話
捜,,証拠を捜す,捜査、捜索
振,辰,棒を振る、腕を振るう、針が振れる,振動、不振
挫,坐,,挫折、頓挫
掲,日匂曷,旗を掲げる,掲載、掲示板
掘,屈,穴を掘る,掘削、発掘
掛,卦、圭,掛け算、迷惑が掛かる、出納掛,
捕,甫,鬼に捕まる、犯人を捕える、魚を捕る,捕捉
捗,歩,,進捗
掃,帚,箒で掃く,掃除、清掃、掃討
措,昔,,措置、挙措
据,居,灸を据える、目が据える,
掌,,,掌握、合掌、車掌
控,空,後に控える,控除、控訴
援,爰,,援護、援軍
握,屋,手を握る,握手、掌握
描,苗,風景を描く、絵を描く,描写
排,非,,排気、排除、排水
捻,念,,捻挫、捻出
携,隽、隹、乃,お供を携える、開発に携わる,携帯、連携
揺,,体を揺する、木を揺すぶる、心が揺れる、大地が揺るぐ,動揺
揚,昜,コロッケが揚がる、凧を揚げる,揚力、高揚
搭,荅,,搭載、搭乗
換,奐,切り換わる、取り換える,換気、換金
